"","numbers","contents","categories","dates","peoples"
"1","444943","LH공사 신혼희망타운 홍보영상 과연 이것이 정부가 원하는 방향 입니까??","인권/성평등","2020-08-02","1,819"
"2","444942","6.17 전세대출규제를 전국으로 확대 적용하여 주십시오.","기타","2020-08-02","326"
"3","444941","입시생들의 꿈을 빼앗지 말아주세요","문화/예술/체육/언론","2020-08-02","823"
"4","444940","한림예고와 서울공연예술고등학교 입시준비중인 중3 학생을 도와주세요.","육아/교육","2020-08-02","719"
"5","444939","서울공연예술고등학교의 특목고 지정 취소(일반고 전환)을 재고해주세요.","육아/교육","2020-08-02","353"
"6","444938","양성평등 나라에서 먼저 시작해주세요","미래","2020-08-02","624"
"7","444937","등교 자율화를 원합니다. 워킹맘들의 자녀들은 지금 아동학대를 당하고 있습니다.","육아/교육","2020-08-02","497"
"8","444936","(6.17 부동산 정책) 80세 노모의 희망을 아시나요?","교통/건축/국토","2020-08-02","437"
"9","444935","무주택자 규제 완화","교통/건축/국토","2020-08-02","686"
"10","444934","장기투자자에 대한 주식 양도소득세 비과세 방안이 필요합니다.","경제민주화","2020-08-02","1,867"
"11","444933","6.17 대책 이전 계약자들에게 적용 된 소급적용을 철회해주세요.","교통/건축/국토","2020-08-02","857"
"12","444932","지방아파트 투기 개선이 필요합니다","교통/건축/국토","2020-08-02","278"
"13","444931","소급적용이라는 기준은 사람마다 다른가요?","교통/건축/국토","2020-08-02","430"
"14","444930","무주택자에 대한 융자는 풀어주세요","교통/건축/국토","2020-08-02","540"
"15","444929","617부동산정책 서민들을 살려주세요","교통/건축/국토","2020-08-02","979"
"16","444928","장항선 철도개량사업 구간 중 홍성군 신성역과 보령시 주포역 구간은 직선으로 노선을 획정해야 합니다.","교통/건축/국토","2020-08-02","286"
"17","444927","***** 장기미사용 휴대폰 요금폭탄 진상 조사해주세요","기타","2020-08-02","208"
"18","444926","사기 중고거래 피해방지를 위한 '이체 경고 메세지 표시' + '수정된 지연인출제도 신청'","안전/환경","2020-08-02","157"
"19","444925","식약처에서 내년 예정이라 부결 되었되었다는데요......","경제민주화","2020-08-02","127"
"20","444924","요양원 사망사건","보건복지","2020-08-02","259"
"21","444923","대한체육회를 해체하여 주십시오.","문화/예술/체육/언론","2020-08-01","5,771"
"22","444922","갑질  공무원을 조치 해주시길 청원합니다!!!","인권/성평등","2020-08-01","1,026"
"23","444921","******등이 Kpop의 정체성을 돈에 일본에 팔아먹는 행위를 막아주세요..","문화/예술/체육/언론","2020-08-01","691"
"24","444920","억울하게 빼앗기게 생긴 저희 집을 구해주세요","기타","2020-08-01","477"
"25","444919","[청원] 고 최숙현 선수 사건의 철저한 조사와 재발 방지를 청원합니다","인권/성평등","2020-08-01","17,113"
"26","444918","고 최숙현 선수의 죽음에 분노하며 대한체육회 해체를 촉구합니다","문화/예술/체육/언론","2020-08-01","8,092"
"27","444917","철인 3종 경기(트라이애슬론) 유망주의 억울함을 풀어주십시오.","인권/성평등","2020-08-01","6,486"
"28","444916","폭압에 죽어간 '故 최숙현 선수'의 억울함을 해결해주십시오.","문화/예술/체육/언론","2020-08-01","63,186"
"29","444915","트라이애슬론 유망주의 억울함을 풀어주시기를 바랍니다.","인권/성평등","2020-08-01","181,242"
"30","444914","길냥이 급식소 합법화","반려동물","2020-08-01","18,391"
"31","444913","한 건설사의 무책임한 횡포! 세탁기가 안들어가는 신식 아파트!!","교통/건축/국토","2020-08-01","1,016"
"32","444912","617대책 국민의 재산권은 꼭 지켜 주세요","교통/건축/국토","2020-08-01","835"
"33","444911","조회수를 위해 거짓 상황을 만들어 한 브랜드와 자영업자에게 심각한 피해를 준 유튜버를 처벌해주세요.","문화/예술/체육/언론","2020-08-01","4,590"
"34","444910","마을앞 분료 사업장 폐쇄해 주세요","안전/환경","2020-08-01","474"
"35","444909","대북 식량지원 사업 추진시 국내산 닭고기 지원도 검토 요청드립니다.","외교/통일/국방","2020-08-01","235"
"36","444908","617대책 한마디에~!!희망이 꺽기고 좌절하게 하지 말아 주세요","교통/건축/국토","2020-08-01","651"
"37","444907","유튜브에서 유언비어를 유포하고 노인학대발언 남성비하 발언으로 물의를 일으키는 “******방송”을 강력 처벌해 주세요","인권/성평등","2020-08-01","485"
"38","444906","6.17 부동산대책, 의무거주5년, 전매제한8년에 당첨된 제가 투기꾼입니까?","교통/건축/국토","2020-08-01","501"
"39","444905","김해시 회현동 주거지 '척촉공원""갈아엎는 치즈공장 반대","안전/환경","2020-08-01","258"
"40","444904","양육비 미지급에 관련한 법률 개정 꼭 정부에서 지지해주세요!","육아/교육","2020-08-01","1,617"
"41","444903","가입고객상대로 갑질하는 **화재 관행을 고말합니다.","기타","2020-08-01","241"
"42","444902","주식, 도박 사이트 광고 발송자 강력한 처벌 촉구합니다.","기타","2020-08-01","436"
"43","444901","617 부동산대책에 대한 해외거주자 고려 요청","교통/건축/국토","2020-08-01","226"
"44","444900","허울뿐인 이동통신사의 군인요금제 개선을 요구 합니다.","외교/통일/국방","2020-08-01","177"
"45","444899","외제차, 고급차의 사고 보상 수리비 제한","교통/건축/국토","2020-08-01","367"
"46","444898","외국인 재난지원금","보건복지","2020-07-31","1,868"
"47","444897","광명시민운동장(4,020평)의 21배에 달하는 녹지를 훼손하며 정부의 그린뉴딜 정책에 정면으로 반하는 구로차량기지 광명이전 사업을 결사 반대합니다.","안전/환경","2020-07-31","10,052"
"48","444896","[탄원] 부동산정책 책임자를 문책하고, 정책실패를 바로잡아주십시요","교통/건축/국토","2020-07-31","1,662"
"49","444895","용인시 라**, 골*** 호텔 해외입국자격리시설폐쇄를 바랍니다","안전/환경","2020-07-31","723"
"50","444894","파렴치한 병원을 고발합니다.","기타","2020-07-31","547"
"51","444893","이재명 지사 판결문 왜곡 가짜뉴스 중지 촉구합니다","정치개혁","2020-07-31","3,400"
"52","444892","LH공사 소년소녀가정 전세임대/청년전세임대의 성남시 분당구 다가구주택 원룸 승인거절의 건","교통/건축/국토","2020-07-31","471"
"53","444891","치료 받기를 원해요","보건복지","2020-07-31","251"
"54","444890","주택재개발각종비리의 적폐와 이로인한 경찰의 고소인 진술조서의 내용을 보여주지않고 지장을찍게하고,진술조서를 작성하지 않았는데도 고소인이 지장날인을한것처럼하여검찰에불기소하는적폐청산","교통/건축/국토","2020-07-31","156"
"55","444889","국민연금 장애연금 꼼수지급, 너무 억울합니다. 그리고 고발합니다.","보건복지","2020-07-31","248"
"56","444888","군형법 92-6 토론회를 열어주세요!","외교/통일/국방","2020-07-31","18,759"
"57","444887","갑질행정을 막아주세요.","행정","2020-07-31","225"
"58","444886","포괄적 차별금지법 제정에 대한 문재인 대통령님과 현 정부의 결단을 촉구합니다.","인권/성평등","2020-07-31","3,506"
"59","444885","오토바이 규제 제도를 검토해주세요","교통/건축/국토","2020-07-31","263"
"60","444884","일본은 요시노가리 유적을 지켰다. 대한민국은 춘천중도선사 유적을 덮을 것인가?","문화/예술/체육/언론","2020-07-31","2,026"
"61","444883","GTX C 노선에 왕십리역 추가를 긍정적으로 검토 부탁드립니다.","교통/건축/국토","2020-07-31","938"
"62","444882","마음놓고 가족의 사랑과 힘으로 아버지를 간병하고 싶습니다.","보건복지","2020-07-31","268"
"63","444881","수원시 오래된 빌라,단독주택 규제 해제하라","교통/건축/국토","2020-07-31","239"
"64","444880","저는 곧 범죄자가 될 예정입니다.","행정","2020-07-31","672"
"65","444879","저희가족의 생계가 달렸습니다. 과도하게 높은 임대료와 투명하지못한 관리비로 운영하던 **의 임차상인 동의없는 매각을 반대해주세요 도와주세요.","일자리","2020-07-31","292"
"66","444878","주식양도세는 개인투자자의 피를 빨아먹는 거머리 정책","행정","2020-07-31","1,880"
"67","444877","반려 동물 입양 절차 도입 및 동물 보호법을 강화해주세요.","반려동물","2020-07-31","1,932"
"68","444876","한림예고 입시생들의 억울함을 풀어주세요","문화/예술/체육/언론","2020-07-31","10,265"
"69","444875","강서구 데이트폭력 살인미수사건 강력한 처벌을 촉구합니다","인권/성평등","2020-07-31","212,867"
"70","444874","617부동산대책 소급적용 하지말아주세요. 분수를 모르는 신혼부부인 것은 알고 있으나 간절히 부탁드립니다.","교통/건축/국토","2020-07-31","980"
"71","444873","***항공의 문제가 해결될 수 있도록 정부는 적극적인 노력을 해주십시오.","일자리","2020-07-31","2,630"
"72","444872","현장지시에 따랐다가 전복된 덤프차량을 다 책임지겠으니 빨리 차를 치워라 해놓고 이제와 배째라 하는 현장과 운전자는 차잃고 몸상하고 무일푼으로 길바닥에 나앉고...","기타","2020-07-31","485"
"73","444871","**증권과 **투자금융의 부당한 만기상환금(2027년)을 조사해 주십시요.","경제민주화","2020-07-31","329"
"74","444870","개인에게 부과된 주식양도소득세를 철회해주세요","행정","2020-07-31","895"
"75","444869","결혼 이주여성에게 영주권만 주고 국적을 주는 제도는 폐지시켜 주시고 또한 이중국적 역시 폐지하여 주십시오!","기타","2020-07-31","1,772"
"76","444868","부동산 다주택자, 투기세력을 잡기위한 법안을 제안합니다.","교통/건축/국토","2020-07-31","1,054"
"77","444867","등록금 반환을 위한 대학 추경 지원을 반대합니다","경제민주화","2020-07-31","1,478"
"78","444866","대기업의 무분별한 확장을 막아주세요","기타","2020-07-31","163"
"79","444865","주식양도 소득세 관련 개인만 포함되고 왜 외국인은 포함되지 않는 차별화된 정책입니까?","경제민주화","2020-07-31","746"
"80","444864","금융세제 선진화 추진 방안에 들어있는 주식 소득 양도세 철회를 청원합니다.","기타","2020-07-31","1,115"
"81","444863","해외입국자에 대해 출국지에서 코로나 음성판정확인후  입국허가토록 조치 요망","보건복지","2020-07-31","624"
"82","444862","대기업의 갑질로 인해 소상공인은 죽어갑니다.","일자리","2020-07-31","174"
"83","444861","군 수사관 폭행에 대한 올바른 처리를 요청합니다.","외교/통일/국방","2020-07-30","246"
"84","444860","'선거부정' 의혹 관련,재검표가 조속히 이루어 질 수 있도록 도와주세요","인권/성평등","2020-07-30","30,597"
"85","444859","대한민국 코스닥 시총3위 회사의 잘못된 회사운영","기타","2020-07-30","489"
"86","444858","구청 공무원의 공정을 잃은 업무로 진행된 스쿨존에 신규 차도 개설 결사 반대합니다.","안전/환경","2020-07-30","610"
"87","444857","박능후 보건복지부 장관을 해임해주세요.","보건복지","2020-07-30","4,019"
"88","444856","상도11구역 불법철거 억울함을 풀어주세요!!","인권/성평등","2020-07-30","529"
"89","444855","성희롱, 성추행, 강간미수를 저지를 사장님이꼭 처벌받게도와주세요","일자리","2020-07-30","1,512"
"90","444854","창원시 지역주택조합 추가부담금 중재요청 청원의 파기를 청원합니다.","기타","2020-07-30","299"
"91","444853","대한민국의 숭고한 민주주의 정신을 짓밟고 훼손한 집권여당의 해체와 문재인 대통령의 대국민사과 및 하야를 촉구 합니다!","정치개혁","2020-07-30","5,750"
"92","444852","자녀에게 엄마 성을 줄 수 있는 권리도 동등하게 보장해주세요","인권/성평등","2020-07-30","28,778"
"93","444851","교육공무원 교사들의 41조 연수 폐지(방학여행)를 청원합니다","육아/교육","2020-07-30","3,434"
"94","444850","교회 재건축 공사로인해 거주지 피해와 공무원들의 무사안일 태도를 성토합니다.","교통/건축/국토","2020-07-30","163"
"95","444849","학교에서 담임선생님에게 저희 부모님이 모욕당했습니다.","인권/성평등","2020-07-30","471"
"96","444848","7월6일 SKT의 2G 회선 강제종료를 연기해 주세요!","안전/환경","2020-07-30","455"
"97","444847","결혼식장 사회적 거리두기2단계,3단계에 대한 대책 마련해주시기 바랍니다.","행정","2020-07-30","4,666"
"98","444846","********* *****라는 체널을 삭제합시다","정치개혁","2020-07-30","319"
"99","444845","3일 내내 몽둥이로 강아지를 폭행한 *** 원장의 면허를 취소하고 동종업계 취업을 제한해주세요.","반려동물","2020-07-30","7,855"
"100","444844","경기도 구리 *** 사건 철저하게 조사해주세요","반려동물","2020-07-30","1,402"
"101","444843","등교 중지를 요청합니다.","육아/교육","2020-07-30","1,476"
"102","444842","자격증 시험 보게해 주세요","행정","2020-07-30","268"
"103","444841","인국공 청원경찰 1900명 전원의 완전경쟁채용을 청원합니다.","일자리","2020-07-30","2,575"
"104","444840","구리-***에서 3일간학대로 돌아온강아지","반려동물","2020-07-30","39,592"
"105","444839","한국산업인력공단 국가자격시험의 고질적 문제점의 개선을 요청합니다.","행정","2020-07-30","276"
"106","444838","언론은 제발 코로나 19의 불안으로 인한 공포를 자극하지 마세요.","기타","2020-07-30","150"
"107","444837","한국산업인력공단","일자리","2020-07-30","370"
"108","444836","서민의 발  **경차**  고속도로 통행료 할인혜택 없어진다!!","교통/건축/국토","2020-07-30","4,566"
"109","444835","6.17 부동산 대출규제 일관성이 있나요","교통/건축/국토","2020-07-30","854"
"110","444834","산업인력관리공단 개선해주세요","일자리","2020-07-30","260"
"111","444833","을이 살기 힘든 나라 대한민국 갑질 처벌 법률 강화를 요청합니다(택배기사 보호 및 처우개선)","인권/성평등","2020-07-30","915"
"112","444832","하루하루 피가 마르는 조정지역시민입니다.","교통/건축/국토","2020-07-30","703"
"113","444831","주식양도세시행 전면 철회해야합니다","성장동력","2020-07-30","1,068"
"114","444830","불법건축물 이행강제금 및 양성화 대하여...","교통/건축/국토","2020-07-30","254"
"115","444829","택배비에  관해서","기타","2020-07-30","225"
"116","444828","기회는 평등하고, 과정은 공정, 결과는 정의로운 취업, 진정한 블라인드 채용을 진행해 주세요.","일자리","2020-07-30","629"
"117","444827","국민 공공임대 조기분양 체결시 청약통장 여부에 따른 대출 범위 격차","교통/건축/국토","2020-07-30","189"
"118","444826","주식 양도세  반대합니다","행정","2020-07-30","769"
"119","444825","제주해녀를 지켜주세요.","문화/예술/체육/언론","2020-07-30","192"
"120","444824","6.17 부동산 정책 관련하여 질의합니다. 국민(혹은 일반서민)을 대상으로 '마루타 실험'을 하시는 것입니까?","교통/건축/국토","2020-07-30","967"
"121","444823","김두관 의원을 비롯한 더불어민주당 의원분들 연봉 보좌관 수준으로 낮춰주십시오","정치개혁","2020-07-30","20,749"
"122","444822","불합리한 국가자격시험제도 개선해주세요.","행정","2020-07-30","154"
"123","444821","코로나19로인한 사립유치원 입학금 환불요청","육아/교육","2020-07-30","140"
"124","444820","코로나관련 가정보육을 위한 전기료 인하의건","보건복지","2020-07-30","150"
"125","444819","민식이법 개정촉구합니다","교통/건축/국토","2020-07-29","1,905"
"126","444818","주철현의원의 의원직 사퇴를 촉구합니다.","정치개혁","2020-07-29","1,222"
"127","444817","개는 훌륭하다에 방영된 담비 코비를 구조해주십시오","반려동물","2020-07-29","51,004"
"128","444816","6개월동안 성폭행 당한 저를 도와주세요 . 제발 부탁드립니다. 아직까지도 끔직한 일이 기억이나고 저를 괴롭힙니다.","인권/성평등","2020-07-29","16,393"
"129","444815","도와주세요","교통/건축/국토","2020-07-29","244"
"130","444814","경찰관이 폭행피해 장애인의 ""고소를 취하하라""고 협박했어요.","기타","2020-07-29","458"
"131","444813","국회위원님들의 월급을 최저시급으로 맞춰주시기 바랍니다.","정치개혁","2020-07-29","77,827"
"132","444812","김두관 의원 연봉 국회 9급 비서관과 동일하게 해주세요","정치개혁","2020-07-29","6,642"
"133","444811","포천파출소에사는 왕방이 왕순이를 지켜주세요 !","반려동물","2020-07-29","2,734"
"134","444810","자금조달 계획서 없애주세요(개인 재산 침해 과도한 서류 주택거래 허가제)","교통/건축/국토","2020-07-29","415"
"135","444809","다주택자 처분 강제는 위헌적인 행정지도입니다","교통/건축/국토","2020-07-29","826"
"136","444808","""성범죄,상해죄,모욕죄,협박죄,무단침입죄, 자기가 저지른게 범죄인지 모르고 뻔뻔하게 카페를 낸 카페사장 ""","기타","2020-07-29","1,217"
"137","444807","국가가 이렇게 배신만 한다면 누가 전쟁 때 총을 들겠는가?","외교/통일/국방","2020-07-29","549"
"138","444806","일 잘하고 투명한 이재명 경기도지사의 무죄를 확신하며 간곡하게 청원 드립니다.","인권/성평등","2020-07-29","8,489"
"139","444805","자유북한운동연합 ***에 대해 사전구속영장 신청과 함께 반국가적<U+2022>반사회적 위법행위에 대한 엄벌을 촉구합니다.","기타","2020-07-29","4,511"
"140","444804","코로나19 대응지침(지자체용) 개정안(제9판) 개요관련 청원","보건복지","2020-07-29","171"
"141","444803","여러분의 세금이 사회복지시설장 술값에 쓰이고 있습니다. 제발 처벌해주세요.","보건복지","2020-07-29","781"
"142","444802","있으나마나 한  국가인권위원회   누가  관리하는겁니까?","행정","2020-07-29","264"
"143","444801","전국의 ***** 매장을 없애주세요.","경제민주화","2020-07-29","1,460"
"144","444800","검찰수사심의위원회 폐지와 평등한 수사를 청원합니다","기타","2020-07-29","287"
"145","444799","화재피해를 집주인과 보험사는 모두 다 제 책임으로 떠넘기려 합니다... 이 억울함을 풀어주세요...","기타","2020-07-29","264"
"146","444798","국내 골프장의 금액 담합과 독주를 막아주세요!","문화/예술/체육/언론","2020-07-29","849"
"147","444797","죽어가는 *****를 바로 잡아주세요","일자리","2020-07-29","878"
"148","444796","의료사고","기타","2020-07-29","1,352"
"149","444795","가해자 부모의 학폭위 전담위원의 자격을 박탈해 주세요","행정","2020-07-29","1,075"
"150","444794","종로경찰서는  소녀상 지킴이들을  우선 보호하라 !!!!!","인권/성평등","2020-07-29","2,199"
"151","444793","주식양도소득세 독소조항 제거해 주십시오.","경제민주화","2020-07-29","2,972"
"152","444792","주식 양도소득세 전면 부과 절대 반대합니다","경제민주화","2020-07-29","1,862"
"153","444791","국가사무인 사회복지사무 위탁의 관행적 불법과 불합리함 이제 멈춰주십시오","보건복지","2020-07-29","888"
"154","444790","2주택자이상 정부관계자 국토부 민주당 정치인들 집 처분하게 환수하세요(서민 2주택자 양도세 세금내고  대출한도줄어 잔금 못치뤄 웁니다)","교통/건축/국토","2020-07-29","658"
